epoch,loss,mae,val_loss,val_mae
0,2371.2529296875,40.944454193115234,1058.209228515625,29.547372817993164
1,819.2618408203125,24.018747329711914,1174.487060546875,31.405139923095703
2,725.2827758789062,22.98525047302246,1254.444091796875,32.29180145263672
3,717.716796875,22.901569366455078,1291.089599609375,32.67803955078125
4,713.6734619140625,22.85984992980957,1291.5606689453125,32.68114471435547
5,712.9913330078125,22.85822868347168,1301.445068359375,32.778839111328125
6,712.3416137695312,22.848058700561523,1285.40625,32.60176467895508
7,712.6492919921875,22.862871170043945,1278.83740234375,32.52619552612305
8,712.795166015625,22.852903366088867,1291.0723876953125,32.666648864746094
9,710.1171264648438,22.8128604888916,1285.9356689453125,32.61418533325195
