voltage_v,current_a,cell_temp_c,power_w,ambient_temp_c,soc_percent,file_id
4.17604,-0.15069,23.97615,-0.6292874676,25,99.91533333333334,25degC_C20DisCh
4.15244,-0.15325,23.76583,-0.63636143,25,99.071,25degC_C20DisCh
4.13542,-0.15325,23.87099,-0.633753115,25,98.225,25degC_C20DisCh
4.12244,-0.15325,23.76583,-0.63176393,25,97.38033333333334,25degC_C20DisCh
4.11216,-0.15069,23.87099,-0.6196613904,25,96.53566666666666,25degC_C20DisCh
4.10407,-0.15325,23.97615,-0.6289487275,25,95.68966666666667,25degC_C20DisCh
4.09766,-0.15069,23.87099,-0.6174763854,25,94.844,25degC_C20DisCh
4.09227,-0.15325,23.87099,-0.6271403775,25,93.99933333333334,25degC_C20DisCh
4.08805,-0.15069,23.76583,-0.6160282545,25,93.15433333333334,25degC_C20DisCh
4.08418,-0.15325,23.87099,-0.625900585,25,92.30933333333333,25degC_C20DisCh
4.08098,-0.15325,23.87099,-0.625410185,25,91.465,25degC_C20DisCh
4.07794,-0.15069,23.66067,-0.6145047786,25,90.621,25degC_C20DisCh
4.07524,-0.15069,23.87099,-0.6140979155999999,25,89.776,25degC_C20DisCh
4.07238,-0.15069,23.87099,-0.6136669422,25,88.93100000000001,25degC_C20DisCh
4.06918,-0.15325,23.87099,-0.623601835,25,88.086,25degC_C20DisCh
4.06564,-0.15325,23.87099,-0.62305933,25,87.24066666666667,25degC_C20DisCh
4.06109,-0.15069,23.76583,-0.6119656521,25,86.39533333333334,25degC_C20DisCh
4.05535,-0.15325,24.18646,-0.6214823875,25,85.54899999999999,25degC_C20DisCh
4.04861,-0.15325,23.97615,-0.6204494825,25,84.70366666666666,25degC_C20DisCh
4.04086,-0.15325,23.87099,-0.619261795,25,83.85866666666666,25degC_C20DisCh
4.0326,-0.15069,23.97615,-0.607672494,25,83.013,25degC_C20DisCh
4.02383,-0.15325,23.87099,-0.6166519475000001,25,82.167,25degC_C20DisCh
4.01456,-0.15325,23.97615,-0.61523132,25,81.32133333333333,25degC_C20DisCh
4.00496,-0.15325,23.87099,-0.6137601199999999,25,80.476,25degC_C20DisCh
3.99535,-0.15325,23.87099,-0.6122873875,25,79.63066666666667,25degC_C20DisCh
3.98574,-0.15069,23.87099,-0.6006111606,25,78.78566666666667,25degC_C20DisCh
3.9763,-0.15325,23.87099,-0.6093679750000001,25,77.94066666666667,25degC_C20DisCh
3.96686,-0.15325,23.87099,-0.607921295,25,77.09533333333334,25degC_C20DisCh
3.95776,-0.15325,23.87099,-0.60652672,25,76.25033333333333,25degC_C20DisCh
3.94899,-0.15069,23.97615,-0.5950733031,25,75.40533333333333,25degC_C20DisCh
3.94057,-0.15325,23.87099,-0.6038923525000001,25,74.55933333333333,25degC_C20DisCh
3.93247,-0.15069,23.97615,-0.5925839043,25,73.714,25degC_C20DisCh
3.92455,-0.15069,23.87099,-0.5913904394999999,25,72.86866666666667,25degC_C20DisCh
3.9168,-0.15325,23.87099,-0.6002495999999999,25,72.02266666666667,25degC_C20DisCh
3.90921,-0.15069,23.87099,-0.5890788548999999,25,71.17800000000001,25degC_C20DisCh
3.9018,-0.15325,23.76583,-0.59795085,25,70.33166666666666,25degC_C20DisCh
3.89421,-0.15069,23.76583,-0.5868185049,25,69.48633333333333,25degC_C20DisCh
3.88629,-0.15325,23.76583,-0.5955739425,25,68.64133333333334,25degC_C20DisCh
3.87803,-0.15069,23.87099,-0.5843803406999999,25,67.79566666666666,25degC_C20DisCh
3.8691,-0.15325,23.97615,-0.5929395749999999,25,66.95033333333333,25degC_C20DisCh
3.85932,-0.15069,23.87099,-0.5815609307999999,25,66.10433333333334,25degC_C20DisCh
3.84853,-0.15069,23.97615,-0.5799349856999999,25,65.25866666666667,25degC_C20DisCh
3.8369,-0.15325,23.87099,-0.588004925,25,64.41333333333333,25degC_C20DisCh
3.82527,-0.15069,23.76583,-0.5764299363,25,63.568000000000005,25degC_C20DisCh
3.81432,-0.15069,23.76583,-0.5747798808,25,62.72333333333333,25degC_C20DisCh
3.80454,-0.15069,23.87099,-0.5733061326,25,61.87833333333332,25degC_C20DisCh
3.79544,-0.15069,23.87099,-0.5719348536,25,61.03266666666667,25degC_C20DisCh
3.78684,-0.15069,23.76583,-0.5706389196,25,60.187999999999995,25degC_C20DisCh
3.77824,-0.15069,23.97615,-0.5693429856,25,59.34299999999999,25degC_C20DisCh
3.76982,-0.15325,24.0813,-0.577724915,25,58.49766666666667,25degC_C20DisCh
3.76139,-0.15069,23.97615,-0.5668038591,25,57.653,25degC_C20DisCh
3.75296,-0.15325,23.87099,-0.57514112,25,56.806333333333335,25degC_C20DisCh
3.74453,-0.15325,23.87099,-0.5738492225,25,55.96099999999999,25degC_C20DisCh
3.73594,-0.15069,24.18646,-0.5629687985999999,25,55.11600000000001,25degC_C20DisCh
3.72751,-0.15325,23.76583,-0.5712409075,25,54.271,25degC_C20DisCh
3.71925,-0.15325,23.87099,-0.5699750625,25,53.425999999999995,25degC_C20DisCh
3.71099,-0.15325,23.87099,-0.5687092174999999,25,52.58066666666667,25degC_C20DisCh
3.7029,-0.15325,23.97615,-0.567469425,25,51.73533333333333,25degC_C20DisCh
3.69514,-0.15325,23.97615,-0.566280205,25,50.891,25degC_C20DisCh
3.68756,-0.15069,23.97615,-0.5556784163999999,25,50.04666666666666,25degC_C20DisCh
3.68014,-0.15325,23.87099,-0.563981455,25,49.20099999999999,25degC_C20DisCh
3.67306,-0.15325,23.87099,-0.562896445,25,48.355000000000004,25degC_C20DisCh
3.66632,-0.15325,23.76583,-0.5618635399999999,25,47.50866666666666,25degC_C20DisCh
3.65975,-0.15325,23.87099,-0.5608566875,25,46.66366666666667,25degC_C20DisCh
3.65334,-0.15325,23.87099,-0.559874355,25,45.81833333333333,25degC_C20DisCh
3.64727,-0.15325,23.87099,-0.5589441275,25,44.97333333333333,25degC_C20DisCh
3.64137,-0.15325,23.97615,-0.5580399525,25,44.128666666666675,25degC_C20DisCh
3.63547,-0.15325,23.97615,-0.5571357775,25,43.28333333333333,25degC_C20DisCh
3.62974,-0.15069,23.87099,-0.5469655205999999,25,42.43833333333333,25degC_C20DisCh
3.62384,-0.15069,23.97615,-0.5460764496,25,41.593,25degC_C20DisCh
3.61778,-0.15325,23.87099,-0.554424785,25,40.74766666666666,25degC_C20DisCh
3.61137,-0.15069,23.97615,-0.5441973453,25,39.90266666666666,25degC_C20DisCh
3.60429,-0.15325,23.97615,-0.5523574425000001,25,39.05733333333333,25degC_C20DisCh
3.59654,-0.15069,23.97615,-0.5419626126,25,38.212,25degC_C20DisCh
3.58794,-0.15069,23.87099,-0.5406666786,25,37.367000000000004,25degC_C20DisCh
3.57951,-0.15325,23.87099,-0.5485599074999999,25,36.52166666666666,25degC_C20DisCh
3.57092,-0.15069,24.0813,-0.5381019348,25,35.67633333333333,25degC_C20DisCh
3.56181,-0.15069,23.87099,-0.5367291489,25,34.831,25degC_C20DisCh
3.5512,-0.15069,23.97615,-0.5351303279999999,25,33.986,25degC_C20DisCh
3.53906,-0.15325,23.87099,-0.542360945,25,33.14066666666666,25degC_C20DisCh
3.5276,-0.15325,23.87099,-0.5406047,25,32.29533333333333,25degC_C20DisCh
3.51546,-0.15069,23.87099,-0.5297446673999999,25,31.450333333333326,25degC_C20DisCh
3.50383,-0.15325,23.87099,-0.5369619474999999,25,30.604999999999993,25degC_C20DisCh
3.49557,-0.15069,23.87099,-0.5267474432999999,25,29.759666666666675,25degC_C20DisCh
3.48967,-0.15325,23.87099,-0.5347919274999999,25,28.914333333333342,25degC_C20DisCh
3.48445,-0.15325,23.76583,-0.5339919624999999,25,28.069,25degC_C20DisCh
3.47888,-0.15325,23.76583,-0.53313836,25,27.22433333333334,25degC_C20DisCh
3.47315,-0.15069,23.97615,-0.5233689735,25,26.37866666666667,25degC_C20DisCh
3.46692,-0.15325,24.0813,-0.5313054899999999,25,25.533666666666665,25degC_C20DisCh
3.45967,-0.15325,23.87099,-0.5301944275,25,24.68866666666667,25degC_C20DisCh
3.44972,-0.15325,23.97615,-0.52866959,25,23.843333333333337,25degC_C20DisCh
3.43186,-0.15325,23.87099,-0.525932545,25,22.99766666666666,25degC_C20DisCh
3.41449,-0.15069,23.97615,-0.5145294980999999,25,22.15233333333333,25degC_C20DisCh
3.39831,-0.15069,23.66067,-0.5120913339,25,21.306666666666672,25degC_C20DisCh
3.37994,-0.15069,23.87099,-0.5093231586,25,20.461000000000006,25degC_C20DisCh
3.36039,-0.15325,23.87099,-0.5149797675000001,25,19.616,25degC_C20DisCh
3.33915,-0.15325,23.76583,-0.5117247375,25,18.77066666666667,25degC_C20DisCh
3.31589,-0.15069,23.97615,-0.49967146409999996,25,17.925333333333338,25degC_C20DisCh
3.2906,-0.15325,23.87099,-0.50428445,25,17.079999999999995,25degC_C20DisCh
3.26313,-0.15325,23.87099,-0.5000746724999999,25,16.23433333333333,25degC_C20DisCh
3.2343,-0.15325,23.87099,-0.49565647500000004,25,15.388666666666673,25degC_C20DisCh
3.20514,-0.15069,23.97615,-0.4829825466,25,14.543000000000006,25degC_C20DisCh
3.17632,-0.15325,23.97615,-0.48677104,25,13.697999999999999,25degC_C20DisCh
3.14733,-0.15069,23.87099,-0.4742711577,25,12.852333333333332,25degC_C20DisCh
3.11732,-0.15325,23.87099,-0.47772929,25,12.007000000000001,25degC_C20DisCh
3.08412,-0.15069,24.0813,-0.4647460428,25,11.161999999999994,25degC_C20DisCh
3.04501,-0.15069,24.18646,-0.4588525569,25,10.315666666666667,25degC_C20DisCh
2.99782,-0.15325,23.97615,-0.459415915,25,9.47,25degC_C20DisCh
2.93933,-0.15325,23.97615,-0.4504523225,25,8.62466666666667,25degC_C20DisCh
2.86027,-0.15325,23.87099,-0.4383363775,25,7.779666666666662,25degC_C20DisCh
2.85498,0.0,23.87099,0.0,25,7.308666666666664,25degC_C20DisCh
2.88549,0.0,23.76583,0.0,25,7.308666666666664,25degC_C20DisCh
2.90083,0.0,24.0813,0.0,25,7.308666666666664,25degC_C20DisCh
2.91128,0.0,23.87099,0.0,25,7.308666666666664,25degC_C20DisCh
2.9192,0.0,23.97615,0.0,25,7.308666666666664,25degC_C20DisCh
2.92577,0.0,23.87099,0.0,25,7.308666666666664,25degC_C20DisCh
2.99573,0.14814,23.97615,0.4437874422,25,7.555999999999996,25degC_C20DisCh
3.11676,0.14814,23.97615,0.4617168264,25,8.381333333333341,25degC_C20DisCh
3.19548,0.15069,23.97615,0.4815268812,25,9.205666666666668,25degC_C20DisCh
3.25397,0.14814,23.87099,0.4820431158,25,10.031,25degC_C20DisCh
3.29864,0.15069,23.97615,0.49707206159999995,25,10.85600000000001,25degC_C20DisCh
3.33202,0.14814,23.97615,0.49360544279999996,25,11.681333333333333,25degC_C20DisCh
3.35545,0.14814,23.97615,0.49707636299999997,25,12.50633333333333,25degC_C20DisCh
3.37298,0.14814,23.87099,0.4996732572,25,13.331666666666663,25degC_C20DisCh
3.38933,0.14814,23.76583,0.5020953462,25,14.156666666666673,25degC_C20DisCh
3.40517,0.14814,23.66067,0.5044418838,25,14.981,25degC_C20DisCh
3.42017,0.14814,23.87099,0.5066639838,25,15.806333333333333,25degC_C20DisCh
3.43433,0.14814,23.87099,0.5087616462,25,16.631666666666657,25degC_C20DisCh
3.44512,0.14814,23.97615,0.5103600768,25,17.45633333333334,25degC_C20DisCh
